URL,Nível 1,Nível 2,Nível 3,Nível 4,Nível 5,Nível 6,Nível 7,Nível 8,Nível 9
https://www.isel.pt/concurso/professor-coordenador/deq-eng-quimica-2024,concurso,professor-coordenador,deq-eng-quimica-2024,,,,,,
https://www.isel.pt/concurso/professor-coordenador/df-fisica-nuclear-particulas,concurso,professor-coordenador,df-fisica-nuclear-particulas,,,,,,
https://www.isel.pt/concurso/professor-coordenador/dm-algebra-combinatoria,concurso,professor-coordenador,dm-algebra-combinatoria,,,,,,
https://www.isel.pt/concurso/professor-coordenador/dm-algebra-combinatoria-2023,concurso,professor-coordenador,dm-algebra-combinatoria-2023,,,,,,
https://www.isel.pt/concurso/professor-coordenador/dm-analise-matematica,concurso,professor-coordenador,dm-analise-matematica,,,,,,
https://www.isel.pt/concurso/professor-coordenador/dm-estatistica-processos-estocasticos-analise-estocastica,concurso,professor-coordenador,dm-estatistica-processos-estocasticos-analise-estocastica,,,,,,
https://www.isel.pt/concurso/professor-coordenador/dm-estatistica-processos-estocasticos-analise-estocastica-2023,concurso,professor-coordenador,dm-estatistica-processos-estocasticos-analise-estocastica-2023,,,,,,
https://www.isel.pt/concurso/professor-coordenador/eletronica,concurso,professor-coordenador,eletronica,,,,,,
https://www.isel.pt/concurso/professor-coordenador/engenharia-civil-hidraulica-e-estruturas,concurso,professor-coordenador,engenharia-civil-hidraulica-e-estruturas,,,,,,
https://www.isel.pt/concurso/professor-coordenador/engenharia-eletrotecnica-automacao,concurso,professor-coordenador,engenharia-eletrotecnica-automacao,,,,,,
https://www.isel.pt/concurso/professor-coordenador/engenharia-eletrotecnica-energia,concurso,professor-coordenador,engenharia-eletrotecnica-energia,,,,,,
https://www.isel.pt/concurso/professor-coordenador/engenharia-termica-e-manutencao,concurso,professor-coordenador,engenharia-termica-e-manutencao,,,,,,
https://www.isel.pt/concurso/professor-coordenador/equacoes-diferenciais-e-aplicacoes,concurso,professor-coordenador,equacoes-diferenciais-e-aplicacoes,,,,,,
https://www.isel.pt/concurso/professor-coordenador/fisica-aplicada,concurso,professor-coordenador,fisica-aplicada,,,,,,
https://www.isel.pt/concurso/professor-coordenador/fisica-da-materia-condensada-e-ciencia-dos-materiais,concurso,professor-coordenador,fisica-da-materia-condensada-e-ciencia-dos-materiais,,,,,,
https://www.isel.pt/concurso/professor-coordenador/geofisica,concurso,professor-coordenador,geofisica,,,,,,
https://www.isel.pt/concurso/professor-coordenador/gestao-de-operacoes,concurso,professor-coordenador,gestao-de-operacoes,,,,,,
https://www.isel.pt/concurso/professor-coordenador/informatica,concurso,professor-coordenador,informatica,,,,,,
https://www.isel.pt/concurso/professor-coordenador/projeto-mecanico-e-materiais,concurso,professor-coordenador,projeto-mecanico-e-materiais,,,,,,
https://www.isel.pt/concurso/professor-coordenador/tecnologia-quimica,concurso,professor-coordenador,tecnologia-quimica,,,,,,
https://www.isel.pt/construcao-bioclimatica-e-sustentavel,construcao-bioclimatica-e-sustentavel,,,,,,,,
https://www.isel.pt/construcao-operacao-e-manutencao-de-vias,construcao-operacao-e-manutencao-de-vias,,,,,,,,
https://www.isel.pt/construcao-sustentavel-territorio-e-ambiente,construcao-sustentavel-territorio-e-ambiente,,,,,,,,
https://www.isel.pt/construcoes-metalicas-e-mistas,construcoes-metalicas-e-mistas,,,,,,,,
https://www.isel.pt/contencoes-e-fundacoes-especiais,contencoes-e-fundacoes-especiais,,,,,,,,
https://www.isel.pt/controlo-de-vibracoes,controlo-de-vibracoes,,,,,,,,
https://www.isel.pt/curso/10514/plano-de-estudos,curso,10514,plano-de-estudos,,,,,,
https://www.isel.pt/curso/10515/plano-de-estudos,curso,10515,plano-de-estudos,,,,,,
https://www.isel.pt/curso/10517/plano-de-estudos,curso,10517,plano-de-estudos,,,,,,
https://www.isel.pt/curso/10519/plano-de-estudos,curso,10519,plano-de-estudos,,,,,,
https://www.isel.pt/curso/10520/plano-de-estudos,curso,10520,plano-de-estudos,,,,,,
https://www.isel.pt/curso/10521/plano-de-estudos,curso,10521,plano-de-estudos,,,,,,
https://www.isel.pt/curso/10522/plano-de-estudos,curso,10522,plano-de-estudos,,,,,,
